age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
23,unemployed,single,illiterate,no,no,no,cellular,apr,tue,246,1,999,0,nonexistent,0.3,101.884,-34.38,4.552,5272.2,no
26,services,single,basic.9y,no,yes,yes,cellular,feb,fri,325,4,167,1,failure,0.9,103.347,-37.01,3.756,5273.2,no
61,entrepreneur,divorced,high.school,no,no,no,telephone,may,thu,313,3,999,0,nonexistent,0.8,96.367,-39.23,4.411,5278.8,no
26,services,married,professional.course,no,no,yes,cellular,sep,mon,249,3,999,0,nonexistent,1.4,99.039,-35.47,4.026,5262.2,no
22,services,divorced,basic.6y,no,yes,yes,cellular,sep,mon,82,1,999,0,nonexistent,0.1,103.25,-40.66,4.799,5262.4,no
48,self-employed,single,basic.4y,no,yes,no,cellular,mar,mon,84,2,210,1,failure,0.6,100.84,-35.22,3.553,5270.4,no
29,entrepreneur,unknown,illiterate,no,yes,no,cellular,jan,wed,189,3,203,2,failure,0.6,99.652,-35.28,3.676,5295.2,yes
68,services,married,basic.4y,no,yes,no,cellular,feb,tue,159,1,999,0,nonexistent,-0.5,98.756,-41.68,4.74,5265,no
48,admin.,single,basic.9y,no,no,yes,cellular,dec,fri,69,4,999,0,nonexistent,-0.1,100.792,-40.54,4.735,5205.2,no
60,student,unknown,high.school,no,no,yes,cellular,oct,fri,231,2,999,0,nonexistent,-0.3,103.99,-32.57,4.186,5223.2,yes
39,technician,married,unknown,no,no,no,telephone,aug,thu,312,4,65,2,success,0.7,99.221,-40.62,4.06,5284.2,no
27,entrepreneur,single,unknown,no,yes,no,cellular,jul,mon,264,1,999,0,nonexistent,-0.3,96.223,-34.66,4.652,5282.2,yes
28,self-employed,unknown,basic.4y,no,no,no,cellular,aug,mon,139,5,999,0,nonexistent,1.3,98.95,-39.45,4.551,5230.8,no
38,unknown,married,illiterate,no,no,no,cellular,dec,mon,88,4,355,1,success,-0.2,102.161,-41.36,3.892,5227.5,no
30,self-employed,divorced,basic.6y,no,no,no,cellular,aug,mon,169,2,999,0,nonexistent,0,98.402,-36.18,4.442,5211.5,no
